Site,DBH(cm),Total.height(m),Dry.total.AGB(kg),Wood.specific.gravity
Cameroon3,113.5,43.4,17363.95,0.57
Cameroon3,100.5,47.4,14139.64,0.57
Cameroon3,115.5,48.7,29190.36,0.57
Cameroon3,178.0,52.4,60541.43,0.57
Cameroon3,105.2,41.8,21899.38,0.75
Cameroon3,107.0,43.8,33111.62,0.75
Cameroon3,94.0,48.0,17897.43,0.75
Cameroon3,83.8,40.2,13422.07,0.75
Cameroon3,96.0,51.6,17326.95,0.75
Cameroon3,67.5,32.6,7766.14,0.75
Cameroon3,112.8,47.0,30530.99,0.75
Cameroon3,116.8,49.0,18775.29,0.55
Cameroon3,105.5,48.9,15120.39,0.55
Cameroon3,93.8,49.1,14148.78,0.55
Cameroon3,110.6,51.9,19615.31,0.55
Cameroon3,126.0,55.6,26424.13,0.55
Cameroon3,99.0,48.4,12984.67,0.55
Cameroon3,104.0,45.6,12163.97,0.55
Cameroon3,100.2,49.8,14163.99,0.55
Cameroon3,104.5,47.7,17663.89,0.55
Cameroon3,97.9,44.6,13710.62,0.66
Cameroon3,115.2,42.9,14435.95,0.41
Cameroon3,106.2,53.2,22041.76,0.45
Cameroon3,111.0,47.2,8650.35,0.33
Cameroon3,112.0,49.6,9492.63,0.33
Cameroon3,105.0,46.5,8845.14,0.33
Cameroon3,143.0,47.1,21482.22,0.33
Cameroon3,157.0,52.5,23180.57,0.33
Cameroon3,144.5,45.3,11187.52,0.33
Cameroon3,140.0,46.6,17781.48,0.33
Cameroon3,135.5,46.6,13555.13,0.33
Cameroon3,129.2,49.9,17550.29,0.33
Cameroon3,170.0,57.3,31939.82,0.33
Cameroon3,107.0,50.8,10758.61,0.33
Cameroon3,154.0,51.9,30147.36,0.33
Cameroon3,88.4,49.5,6392.31,0.33
Cameroon3,119.2,46.9,11988.74,0.33
Cameroon3,100.0,45.9,8582.12,0.33
Cameroon3,99.8,47.7,8621.58,0.33
Cameroon3,100.0,50.6,8822.90,0.33
Cameroon3,96.9,46.4,6135.58,0.33
Cameroon3,113.3,51.2,8758.65,0.33
Cameroon3,212.0,52.7,43623.17,0.33
Cameroon3,140.0,52.6,19511.13,0.33
CentralAfric,26.2,23.8,705.60,0.75
CentralAfric,28.1,22.2,1013.20,0.75
CentralAfric,32.4,25.9,741.60,0.75
CentralAfric,34.0,28.8,890.10,0.75
CentralAfric,36.5,29.3,1266.00,0.75
CentralAfric,44.0,39.2,2832.80,0.75
CentralAfric,24.4,26.1,755.50,0.69
CentralAfric,28.0,26.1,1002.60,0.71
CentralAfric,28.8,26.9,951.30,0.71
CentralAfric,36.5,24.0,1251.40,0.71
CentralAfric,47.0,32.1,1529.00,0.71
CentralAfric,52.2,25.1,2284.80,0.71
ColombiaC1,54.9,35.9,1708.34,0.53
ColombiaC1,63.3,34.4,4122.99,0.41
ColombiaC1,65.8,48.0,3442.14,0.36
ColombiaC1,66.2,32.3,4066.64,0.45
