Site,DBH(cm),Total.height(m),Dry.total.AGB(kg),Wood.specific.gravity
Madagascar2,28.7,14.2,606.45,0.66
Madagascar2,29.0,11.0,581.25,0.78
Madagascar2,30.3,22.0,682.14,0.62
Madagascar2,9.2,10.0,36.19,0.42
Madagascar2,9.6,9.2,28.16,0.44
Madagascar2,9.6,10.0,22.35,0.31
Madagascar2,15.6,9.0,70.81,0.39
Madagascar2,15.9,11.0,77.01,0.39
Madagascar2,18.2,9.9,81.70,0.46
Madagascar2,8.3,8.5,18.96,0.54
Madagascar2,8.6,9.0,21.91,0.52
Madagascar2,8.6,11.2,39.85,0.59
Madagascar2,15.9,11.0,208.47,0.67
Madagascar2,16.9,10.5,172.32,0.66
Madagascar2,19.1,10.8,95.10,0.61
Madagascar2,28.3,14.0,254.42,0.65
Madagascar2,29.6,12.0,522.37,0.56
Madagascar2,30.9,18.0,474.71,0.62
Madagascar2,6.4,11.4,12.37,0.44
Madagascar2,9.6,11.0,23.84,0.54
Madagascar2,9.6,10.0,29.92,0.52
Madagascar2,18.5,14.0,152.63,0.49
Madagascar2,18.5,9.0,128.39,0.53
Madagascar2,18.5,8.5,168.71,0.55
Madagascar2,28.7,11.0,307.75,0.53
Madagascar2,31.8,12.0,343.86,0.47
Madagascar2,31.8,11.0,427.23,0.51
Madagascar2,7.0,6.4,18.60,0.67
Madagascar2,9.6,8.5,31.48,0.62
Madagascar2,9.6,9.0,40.10,0.71
Madagascar2,15.9,10.5,84.32,0.58
Madagascar2,16.6,8.4,110.77,0.68
Madagascar2,19.1,16.0,359.29,0.60
Madagascar2,28.7,15.5,541.58,0.68
Madagascar2,29.0,19.0,536.38,0.55
Madagascar2,29.6,18.0,595.09,0.73
Madagascar2,7.0,8.3,21.34,0.70
Madagascar2,8.9,8.0,22.36,0.54
Madagascar2,9.6,12.1,43.70,0.69
Madagascar2,16.9,8.0,114.74,0.67
Madagascar2,19.1,10.4,126.64,0.67
Madagascar2,19.1,10.5,125.97,0.61
Madagascar2,28.7,13.8,757.63,0.68
Madagascar2,29.0,6.5,208.65,0.56
Madagascar2,31.8,8.3,370.41,0.66
Madagascar3,5.3,4.4,6.45,0.53
Madagascar3,8.4,5.7,17.42,0.56
Madagascar3,5.9,5.7,7.09,0.54
Madagascar3,6.8,6.7,9.42,0.52
Madagascar3,10.2,7.7,30.37,0.57
Madagascar3,10.6,5.9,27.39,0.59
Madagascar3,12.3,5.3,33.85,0.51
Madagascar3,5.9,3.4,7.63,0.39
Madagascar3,7.6,3.8,15.00,0.42
Madagascar3,23.6,7.3,175.59,0.43
Madagascar3,5.1,3.5,1.26,0.20
Madagascar3,6.0,3.4,1.68,0.27
Madagascar3,8.9,6.8,8.55,0.26
Madagascar3,9.2,7.2,8.35,0.27
Madagascar3,13.7,7.9,24.16,0.27
Madagascar3,15.0,7.5,24.23,0.26
Madagascar3,5.2,5.3,8.68,0.74
Madagascar3,5.3,5.8,7.94,0.74
Madagascar3,5.7,5.1,11.56,0.73
Madagascar3,8.0,6.1,30.15,0.80
Madagascar3,10.2,7.4,51.43,0.79
Madagascar3,12.3,8.2,99.45,0.79
Madagascar3,8.3,5.8,8.00,0.30
Madagascar3,19.5,7.9,51.12,0.30
Madagascar3,5.8,4.0,2.97,0.24
Madagascar3,6.7,3.9,2.67,0.23
Madagascar3,10.0,5.0,12.66,0.20
Madagascar3,11.8,4.1,13.24,0.21
Madagascar3,13.0,4.7,13.35,0.25
Madagascar3,5.2,5.0,7.64,0.85
Madagascar3,5.3,4.3,6.97,0.86
Madagascar3,5.3,5.2,12.32,0.89
Madagascar3,5.9,4.6,16.69,0.88
Madagascar3,6.5,4.9,11.86,0.86
Madagascar3,5.2,4.8,11.32,0.82
Madagascar3,5.7,3.5,11.11,0.85
Madagascar3,13.1,4.4,32.55,0.82
Madagascar3,5.9,4.5,11.79,0.89
Madagascar3,6.9,3.7,15.23,0.80
Madagascar3,7.5,5.6,15.92,0.71
Madagascar3,7.2,4.2,10.42,0.78
Madagascar3,6.4,3.4,12.62,0.46
Madagascar3,12.4,5.2,62.29,0.45
Madagascar3,7.1,3.2,14.60,0.42
Madagascar3,14.8,6.5,60.36,0.41
Madagascar3,7.1,4.2,9.52,0.31
Madagascar3,11.1,5.3,30.10,0.37
Madagascar3,5.6,5.4,14.06,0.78
Madagascar3,6.8,6.1,16.18,0.74
Madagascar3,7.6,6.1,20.13,0.78
Madagascar3,5.7,4.2,2.36,0.31
Madagascar3,6.6,4.9,4.71,0.28
Madagascar3,6.9,6.1,6.90,0.34
Madagascar3,9.9,5.6,10.74,0.36
Madagascar3,10.2,5.6,11.72,0.31
Madagascar3,13.8,7.0,24.91,0.29
Madagascar3,15.1,7.7,33.53,0.27
Madagascar3,7.0,3.8,2.28,0.18
Madagascar3,10.2,5.2,5.66,0.19
Madagascar3,10.7,3.2,5.52,0.22
Madagascar3,14.0,5.3,13.45,0.23
Madagascar3,16.2,6.3,23.85,0.29
Madagascar3,19.1,5.4,24.44,0.25
Madagascar3,24.8,4.4,30.22,0.22
Madagascar3,26.4,7.3,52.41,0.21
Madagascar3,27.4,6.1,42.27,0.21
Madagascar3,9.1,3.4,1.23,0.10
Madagascar3,11.0,3.7,1.32,0.11
Madagascar3,11.0,4.0,2.26,0.12
Madagascar3,12.6,5.0,6.47,0.09
Madagascar3,17.5,5.2,3.51,0.10
Madagascar3,31.8,4.9,17.38,0.10
Madagascar3,5.4,4.4,10.88,0.82
Madagascar3,6.1,4.9,11.66,0.77
Madagascar3,7.6,5.0,18.93,0.81
Madagascar3,8.4,6.7,34.88,0.86
Madagascar3,10.1,6.1,41.97,0.85
Madagascar3,6.6,4.7,12.60,0.78
Madagascar3,5.6,4.7,7.58,0.70
Madagascar3,9.4,6.1,36.94,0.83
Madagascar3,5.6,4.2,11.66,0.79
Madagascar3,7.6,4.4,41.21,0.73
Madagascar3,8.3,5.8,27.21,0.72
Madagascar3,7.2,6.1,20.64,0.66
Madagascar3,7.3,6.3,26.05,0.68
Madagascar3,10.0,8.8,40.94,0.67
Madagascar3,13.1,9.5,81.10,0.73
Madagascar4,10.0,12.0,53.73,0.64
Madagascar4,10.0,13.0,65.24,0.69
Madagascar4,14.0,12.0,94.36,0.62
Madagascar4,19.0,19.0,268.07,0.71
Madagascar4,24.0,16.0,434.35,0.67
Madagascar4,28.0,20.0,540.32,0.63
Madagascar4,30.0,25.0,574.38,0.63
Madagascar4,33.0,22.0,844.92,0.65
Madagascar4,11.0,16.0,52.99,0.48
Madagascar4,14.0,19.0,118.16,0.45
Madagascar4,16.0,22.0,162.15,0.50
Madagascar4,19.0,21.0,224.45,0.48
Madagascar4,20.0,24.0,237.12,0.48
Madagascar4,21.0,24.0,311.43,0.54
Madagascar4,28.0,25.0,654.97,0.52
Madagascar4,33.0,27.0,652.91,0.52
Madagascar4,35.0,33.0,1277.51,0.58
Madagascar4,14.0,18.0,102.60,0.49
Madagascar4,14.0,20.0,153.39,0.56
Madagascar4,14.0,15.0,134.82,0.48
Madagascar4,19.0,19.0,253.78,0.55
Madagascar4,23.0,24.0,320.98,0.49
Madagascar4,26.0,29.0,454.43,0.52
Madagascar4,30.0,24.0,659.85,0.48
Madagascar4,35.0,20.0,642.04,0.49
Madagascar4,37.0,26.0,529.16,0.52
Madagascar4,14.0,15.0,84.29,0.46
Madagascar4,15.0,14.0,127.67,0.58
Madagascar4,16.0,14.0,164.17,0.57
Madagascar4,18.0,18.0,183.49,0.67
Madagascar4,19.0,17.0,230.11,0.46
Madagascar4,20.0,11.0,183.36,0.66
Madagascar4,28.0,23.0,653.96,0.56
Madagascar4,30.0,19.0,408.30,0.55
Madagascar4,13.0,11.0,72.66,0.75
Madagascar4,14.0,15.0,106.57,0.69
Madagascar4,14.0,14.0,121.41,0.73
Madagascar4,21.0,19.0,263.49,0.70
Madagascar4,22.0,13.0,249.10,0.62
Madagascar4,24.0,11.0,286.02,0.66
Madagascar4,26.0,16.0,444.75,0.71
Madagascar4,28.0,15.0,369.44,0.63
Madagascar4,33.0,23.0,899.22,0.66
Madagascar4,10.0,11.0,45.30,0.64
Madagascar4,14.0,14.0,77.93,0.68
Madagascar4,16.0,18.0,165.14,0.69
Madagascar4,19.0,15.0,213.22,0.65
Madagascar4,20.0,19.0,282.12,0.67
Madagascar4,22.0,20.0,355.21,0.70
Madagascar4,27.0,21.0,436.57,0.67
Madagascar4,29.0,25.0,766.09,0.68
Madagascar4,33.0,25.0,898.39,0.64
Madagascar4,9.0,11.0,40.89,0.66
Madagascar4,10.0,11.0,48.91,0.65
Madagascar4,11.0,12.0,66.18,0.65
Madagascar4,17.0,17.0,136.24,0.64
Madagascar4,17.0,19.0,167.86,0.55
Madagascar4,18.0,12.0,147.69,0.63
Madagascar4,27.0,17.0,274.63,0.64
Madagascar4,27.0,17.0,341.39,0.65
Madagascar4,27.0,18.0,439.75,0.62
Madagascar4,14.0,14.0,52.78,0.50
Madagascar4,14.0,16.0,87.80,0.47
Madagascar4,16.0,14.0,106.91,0.57
Madagascar4,21.0,18.0,178.25,0.57
Madagascar4,22.0,17.0,166.61,0.52
Madagascar4,22.0,18.0,186.86,0.48
Madagascar4,27.0,18.0,207.95,0.48
Madagascar4,27.0,12.0,210.41,0.51
Madagascar4,37.0,17.0,599.14,0.49
Madagascar4,12.0,11.0,70.60,0.60
Madagascar4,13.0,10.0,71.18,0.73
Madagascar4,14.0,10.0,88.78,0.61
Madagascar4,19.0,16.0,217.83,0.59
Madagascar4,19.0,13.0,214.92,0.56
Madagascar4,24.0,17.0,264.97,0.57
Madagascar4,25.0,16.0,406.37,0.59
Madagascar4,28.0,15.0,444.16,0.60
Madagascar4,32.0,14.0,499.77,0.56
Madagascar4,33.0,26.0,698.64,0.55
Madagascar5,7.0,8.0,11.15,0.49
Madagascar5,7.5,13.5,12.98,0.54
Madagascar5,8.5,10.5,22.77,0.50
Madagascar5,17.0,10.5,81.03,0.50
Madagascar5,17.0,14.5,129.80,0.52
Madagascar5,17.5,13.5,64.80,0.52
Madagascar5,25.0,16.0,238.15,0.50
Madagascar5,28.0,16.0,243.16,0.49
Madagascar5,29.0,17.0,267.52,0.48
Madagascar5,6.0,7.0,10.02,0.51
Madagascar5,6.5,6.5,11.37,0.53
Madagascar5,8.0,12.0,29.11,0.52
Madagascar5,16.5,11.5,115.77,0.56
Madagascar5,17.0,12.5,114.62,0.52
Madagascar5,28.0,17.0,281.91,0.54
Madagascar5,30.0,18.0,340.21,0.53
Madagascar5,17.5,11.5,191.70,0.58
Madagascar5,29.0,13.5,256.56,0.63
Madagascar5,17.0,17.5,102.04,0.28
Madagascar5,17.0,14.5,115.68,0.26
Madagascar5,17.5,13.0,105.86,0.27
Madagascar5,25.0,18.0,188.46,0.26
Madagascar5,30.0,10.5,141.27,0.26
Madagascar5,30.0,15.0,290.06,0.29
Madagascar5,16.0,11.0,102.39,0.53
Madagascar5,16.5,12.5,85.99,0.54
Madagascar5,17.5,13.5,129.42,0.52
Madagascar5,32.0,21.5,508.14,0.53
Madagascar5,7.0,10.0,33.35,0.46
Madagascar5,7.5,11.0,38.04,0.46
Madagascar5,35.0,18.5,506.19,0.45
Madagascar5,35.0,16.5,305.61,0.45
Madagascar5,7.0,8.5,8.53,0.36
Madagascar5,7.0,8.0,8.39,0.33
Madagascar5,8.5,6.5,30.83,0.38
Madagascar5,7.5,9.5,17.75,0.47
Madagascar5,8.0,7.0,14.04,0.47
Madagascar5,8.5,8.5,27.26,0.48
Madagascar5,16.0,9.0,76.99,0.46
Madagascar5,16.5,9.0,60.06,0.48
Madagascar5,16.5,8.2,70.33,0.48
Madagascar5,25.0,12.0,172.31,0.49
Madagascar5,34.0,16.5,539.99,0.45
Madagascar5,36.0,20.5,826.44,0.47
Madagascar5,6.5,10.0,14.78,0.75
Madagascar5,7.0,9.5,18.76,0.74
Madagascar5,7.5,9.0,23.45,0.78
Madagascar5,16.5,11.5,104.26,0.78
Madagascar5,16.5,10.5,176.74,0.77
Madagascar5,17.0,10.5,147.82,0.78
Madagascar5,27.0,15.5,330.88,0.77
Madagascar5,27.5,15.0,279.22,0.80
Madagascar5,30.0,14.0,311.76,0.77
Madagascar5,6.0,10.0,7.36,0.41
Madagascar5,8.0,10.5,13.20,0.39
Madagascar5,8.0,9.0,12.82,0.41
Madagascar5,15.0,13.4,41.96,0.40
Madagascar5,17.0,13.0,103.98,0.41
Madagascar5,17.5,18.0,152.12,0.44
Madagascar5,26.0,17.0,207.92,0.43
Madagascar5,27.0,18.0,264.49,0.44
Madagascar5,32.0,19.0,190.49,0.41
Madagascar5,15.0,11.0,58.55,0.69
Madagascar5,16.0,11.0,66.33,0.69
Madagascar5,17.0,13.0,69.73,0.68
Madagascar5,26.0,18.0,324.35,0.66
Madagascar5,30.0,17.0,342.50,0.66
Madagascar5,7.5,9.0,21.09,0.63
Madagascar5,8.0,6.5,22.24,0.65
Madagascar5,17.5,13.5,149.27,0.54
Madagascar5,25.0,14.0,178.11,0.55
Madagascar5,28.0,17.0,318.58,0.53
Madagascar5,36.0,23.0,734.96,0.54
Madagascar5,6.0,11.3,12.00,0.52
Madagascar5,7.0,9.5,13.37,0.57
Madagascar5,7.0,11.5,22.98,0.55
Madagascar5,16.0,16.0,157.93,0.56
Madagascar5,17.5,15.0,118.39,0.55
Madagascar5,8.5,9.0,26.14,0.68
Madagascar5,6.0,8.0,10.08,0.70
Madagascar5,6.5,8.0,15.35,0.64
Madagascar5,7.0,8.5,12.28,0.64
Madagascar5,17.0,14.5,137.03,0.70
Madagascar5,17.0,17.5,179.58,0.69
Madagascar5,17.0,18.0,188.95,0.70
Madagascar5,30.0,20.0,538.71,0.69
Madagascar5,32.0,19.0,518.70,0.70
Madagascar5,36.0,21.0,1062.26,0.64
Madagascar5,7.5,7.0,17.88,0.57
Madagascar5,30.0,8.0,331.64,0.60
Malaysia,11.9,20.8,99.73,0.63
Malaysia,13.8,21.4,136.47,0.58
Malaysia,12.1,16.5,98.49,0.60
Malaysia,10.0,12.0,32.70,0.54
Malaysia,10.7,14.3,38.89,0.52
Malaysia,10.7,13.5,34.63,0.48
Malaysia,20.7,26.0,375.52,0.62
Malaysia,10.0,16.3,62.80,0.62
Malaysia,20.6,24.2,277.47,0.55
Malaysia,48.2,47.5,3459.77,0.62
Malaysia,77.9,50.0,9836.28,0.60
Malaysia,12.4,21.2,116.00,0.56
Malaysia,43.0,31.5,1739.43,0.59
Malaysia,15.7,17.2,121.69,0.51
Malaysia,11.9,19.2,71.81,0.58
Malaysia,13.6,18.0,116.78,0.61
Malaysia,28.2,24.6,733.60,0.60
Malaysia,32.9,27.8,1164.79,0.56
Malaysia,13.5,18.5,136.75,0.63
Malaysia,37.2,34.4,1265.64,0.57
Malaysia,10.9,16.9,39.02,0.60
Malaysia,21.7,22.7,316.45,0.56
Malaysia,35.9,27.9,1056.26,0.65
Malaysia,13.9,21.1,112.82,0.60
Malaysia,45.7,37.2,2047.75,0.55
Malaysia,21.4,24.8,374.85,0.57
Malaysia,101.6,57.5,17115.17,0.64
Malaysia,9.7,17.4,56.13,0.64
Malaysia,12.9,16.3,81.91,0.63
Malaysia,14.0,15.0,127.70,0.59
Malaysia,66.7,42.0,6297.34,0.57
Malaysia,5.0,10.0,6.06,0.54
Malaysia,5.0,9.1,6.14,0.59
Malaysia,5.0,6.3,4.75,0.54
Malaysia,5.0,8.3,9.97,0.80
Malaysia,5.0,10.0,6.24,0.39
Malaysia,5.1,6.5,6.65,0.72
Malaysia,5.1,10.0,10.41,0.59
Malaysia,5.1,5.8,8.31,0.56
Malaysia,5.2,8.8,6.93,0.55
Malaysia,5.2,10.0,8.84,0.52
Malaysia,5.3,7.5,5.86,0.51
Malaysia,5.3,10.0,11.41,0.61
Malaysia,5.4,10.6,8.71,0.61
Malaysia,5.4,11.7,10.52,0.65
Malaysia,5.4,9.5,8.40,0.58
Malaysia,5.5,9.7,10.58,0.59
Malaysia,5.5,8.6,9.68,0.54
Malaysia,5.5,8.4,11.49,0.54
Malaysia,5.5,7.7,12.21,0.48
Malaysia,5.6,8.8,6.59,0.46
Malaysia,5.7,10.0,8.16,0.53
Malaysia,5.8,8.0,6.27,0.56
Malaysia,5.8,9.9,10.74,0.58
Malaysia,5.8,10.4,12.81,0.65
Malaysia,5.8,9.9,11.98,0.58
Malaysia,5.9,11.2,14.20,0.72
Malaysia,5.9,7.7,11.48,0.51
Malaysia,6.0,12.5,15.29,0.61
Malaysia,6.0,9.3,11.60,0.61
Malaysia,6.1,10.0,14.92,0.62
Malaysia,6.1,10.6,15.84,0.56
Malaysia,6.2,12.2,11.96,0.62
Malaysia,6.2,8.6,10.21,0.59
Malaysia,6.2,8.5,9.56,0.55
Malaysia,6.2,8.7,14.70,0.72
Malaysia,6.3,9.2,13.69,0.63
Malaysia,6.3,8.7,15.70,0.64
Malaysia,6.5,10.6,14.43,0.62
Malaysia,6.5,7.1,9.81,0.48
Malaysia,6.6,12.7,18.64,0.66
Malaysia,6.7,9.5,12.43,0.59
Malaysia,6.9,7.0,11.79,0.57
Malaysia,7.0,11.2,17.24,0.63
Malaysia,7.1,12.6,18.18,0.59
Malaysia,7.2,9.6,19.81,0.66
Malaysia,7.2,10.8,27.62,0.59
Malaysia,7.3,10.6,9.96,0.46
Malaysia,7.4,11.5,17.07,0.61
Malaysia,7.4,9.8,16.17,0.47
Malaysia,7.5,11.5,21.72,0.66
Malaysia,7.7,10.8,16.88,0.49
Malaysia,7.8,10.0,23.74,0.66
Malaysia,8.2,10.7,15.87,0.40
Malaysia,8.4,12.4,36.02,0.68
Malaysia,8.6,9.6,17.30,0.41
Malaysia,9.2,12.8,44.56,0.60
Malaysia,9.3,10.6,29.07,0.52
Malaysia,9.4,15.6,44.18,0.61
Malaysia,9.7,13.0,36.40,0.58
Malaysia,9.9,17.5,70.05,0.66
Malaysia,10.0,12.8,28.39,0.41
Malaysia,10.1,17.2,40.97,0.56
Malaysia,10.8,12.3,28.67,0.45
Malaysia,10.9,11.1,33.77,0.64
Malaysia,11.0,12.1,41.18,0.53
Malaysia,12.0,19.3,100.67,0.69
Malaysia,12.3,16.6,80.49,0.61
Malaysia,12.4,12.4,58.76,0.59
Malaysia,12.4,15.8,87.03,0.65
Malaysia,14.1,15.0,123.37,0.66
Malaysia,16.2,20.0,229.20,0.77
Malaysia,18.2,24.0,255.76,0.65
Malaysia,18.4,23.2,237.59,0.73
Malaysia,20.1,24.0,269.98,0.64
Malaysia,21.3,26.3,400.12,0.68
Malaysia,21.3,24.4,434.01,0.68
Malaysia,22.2,28.0,396.51,0.73
Malaysia,27.6,31.6,665.03,0.61
Malaysia,28.9,27.8,719.17,0.57
Malaysia,29.0,25.9,577.00,0.60
Malaysia,33.0,30.0,941.31,0.72
Malaysia,34.2,33.3,650.75,0.56
Malaysia,37.5,31.0,1543.03,0.75
Malaysia,39.6,28.0,1563.88,0.65
Malaysia,40.5,31.2,1014.92,0.59
Malaysia,41.2,34.5,1449.59,0.61
Malaysia,55.6,42.5,4363.15,0.65
Malaysia,63.0,48.9,4874.82,0.73
Malaysia,89.0,48.0,14062.90,0.60
Malaysia,91.8,41.4,13666.71,0.69
Malaysia,10.9,15.0,48.34,0.52
Malaysia,26.2,28.7,545.38,0.56
Malaysia,52.8,36.1,2821.98,0.60
Malaysia,53.2,34.9,3874.86,0.63
Malaysia,18.9,24.9,333.93,0.59
Malaysia,57.9,46.8,3092.12,0.58
Malaysia,20.1,23.9,380.76,0.61
Malaysia,24.5,25.0,595.69,0.61
Malaysia,38.2,30.0,1305.75,0.54
Malaysia,22.8,27.3,306.20,0.63
Malaysia,46.1,32.5,1608.99,0.58
Malaysia,12.6,13.6,78.88,0.54
Malaysia,15.6,12.0,97.51,0.56
Malaysia,38.5,38.4,1110.11,0.59
Malaysia,42.0,35.0,1168.07,0.54
Malaysia,32.9,28.8,1136.46,0.59
Malaysia,39.2,33.9,1030.90,0.48
Malaysia,60.1,39.5,4541.26,0.63
Malaysia2,30.4,28.7,907.30,0.66
Malaysia2,11.3,16.9,69.05,0.62
Malaysia2,6.2,9.5,14.63,0.63
Malaysia2,7.2,12.6,16.45,0.55
Malaysia2,6.3,12.2,18.22,0.67
Malaysia2,66.7,40.4,6172.00,0.74
Malaysia2,13.7,20.3,181.11,0.73
Malaysia2,7.5,14.5,20.32,0.51
Malaysia2,6.3,12.3,13.39,0.61
Malaysia2,5.9,13.2,10.54,0.46
Malaysia2,10.2,14.9,42.84,0.46
Malaysia2,5.8,7.9,6.83,0.76
Malaysia2,9.4,11.5,33.62,0.61
Malaysia2,53.0,46.2,5810.90,0.76
Malaysia2,5.9,10.6,11.80,0.67
Malaysia2,5.8,10.2,13.18,0.61
Malaysia2,23.0,19.3,557.42,0.61
Malaysia2,26.1,25.8,726.18,0.59
Malaysia2,27.7,28.5,908.60,0.59
Malaysia2,5.6,7.9,9.28,0.63
Malaysia2,12.4,15.2,132.01,0.58
Malaysia2,46.8,35.0,2122.90,0.57
Malaysia2,13.8,16.2,59.75,0.43
Malaysia2,21.1,19.0,430.20,0.77
MFrenchG,5.2,6.5,7.01,0.78
MFrenchG,5.3,8.1,8.07,0.78
MFrenchG,5.5,9.0,12.95,0.78
MFrenchG,6.5,4.4,5.46,0.78
MFrenchG,6.7,6.0,13.37,0.78
MFrenchG,6.8,7.8,14.90,0.78
MFrenchG,8.0,6.9,18.31,0.78
MFrenchG,9.0,10.0,40.86,0.78
MFrenchG,10.0,13.7,54.17,0.78
MFrenchG,13.0,9.4,71.82,0.78
MFrenchG,15.5,13.0,87.60,0.78
MFrenchG,19.7,18.0,203.50,0.78
MFrenchG,19.7,16.0,191.18,0.78
MFrenchG,21.0,20.5,232.93,0.78
MFrenchG,25.4,20.0,410.97,0.78
MFrenchG,32.3,24.0,852.03,0.78
MFrenchG,42.0,26.0,1543.65,0.78
MFrenchG,5.0,9.0,7.25,0.61
MFrenchG,5.3,8.0,7.89,0.61
MFrenchG,5.4,10.0,6.78,0.61
MFrenchG,6.0,10.9,11.00,0.61
MFrenchG,6.7,10.5,9.73,0.61
MFrenchG,7.0,11.6,15.16,0.61
MFrenchG,7.4,11.9,19.11,0.61
MFrenchG,8.1,11.2,22.13,0.61
MFrenchG,9.6,12.2,27.56,0.61
MFrenchG,9.2,11.2,96.56,0.93
MFrenchG,23.3,19.0,466.90,0.93
MFrenchG,32.0,20.0,1036.56,0.93
MGuadel,6.7,8.7,12.20,0.78
MGuadel,6.9,8.3,10.00,0.78
MGuadel,8.1,9.1,23.70,0.78
MGuadel,8.7,9.9,22.80,0.78
MGuadel,9.0,9.6,24.40,0.78
MGuadel,11.7,14.7,57.40,0.78
MGuadel,13.9,12.8,67.10,0.78
MGuadel,14.3,11.4,62.50,0.78
MGuadel,15.5,13.6,103.00,0.78
MGuadel,15.9,16.3,147.20,0.78
MGuadel,18.1,14.3,102.40,0.78
MGuadel,18.8,14.1,154.30,0.78
MGuadel,20.4,15.5,215.60,0.78
MGuadel,20.8,11.6,213.30,0.78
MGuadel,23.6,18.1,360.40,0.78
MGuadel,25.0,16.6,313.60,0.78
MGuadel,26.4,16.1,373.90,0.78
MGuadel,27.2,15.2,447.20,0.78
MGuadel,27.3,16.1,376.60,0.78
MGuadel,28.1,16.2,416.00,0.78
MGuadel,40.7,15.3,1145.80,0.78
MGuadel,7.7,10.4,16.60,0.61
MGuadel,8.4,11.7,26.00,0.61
MGuadel,9.0,12.6,30.30,0.61
MGuadel,9.3,13.7,34.20,0.61
MGuadel,11.5,15.4,49.40,0.61
MGuadel,11.5,15.0,48.40,0.61
MGuadel,12.4,15.0,60.40,0.61
MGuadel,14.8,14.5,86.20,0.61
MGuadel,15.8,15.0,77.10,0.61
MGuadel,16.7,13.3,133.40,0.61
MGuadel,18.0,16.0,126.60,0.61
MGuadel,19.5,16.3,183.30,0.61
MGuadel,20.1,15.9,163.50,0.61
MGuadel,20.2,13.9,206.90,0.61
MGuadel,21.2,17.3,224.10,0.61
MGuadel,21.9,13.8,199.70,0.61
MGuadel,25.9,15.7,223.40,0.61
MGuadel,6.6,9.5,21.80,0.93
MGuadel,7.3,9.3,18.60,0.93
MGuadel,7.4,8.7,22.90,0.93
MGuadel,9.6,10.3,39.60,0.93
MGuadel,9.7,10.5,60.90,0.93
MGuadel,10.7,12.6,56.00,0.93
MGuadel,11.5,13.7,78.40,0.93
MGuadel,12.2,14.5,82.60,0.93
MGuadel,12.4,14.1,124.50,0.93
MGuadel,14.0,12.1,157.70,0.93
MGuadel,15.7,15.6,172.10,0.93
MGuadel,16.4,13.6,173.10,0.93
MGuadel,17.9,13.3,188.10,0.93
MGuadel,19.7,13.0,214.00,0.93
MGuadel,20.1,13.8,276.40,0.93
MGuadel,22.3,15.1,531.50,0.93
MGuadel,23.2,16.0,353.10,0.93
Moluccas,10.6,11.1,37.30,0.66
Moluccas,10.4,13.3,65.00,0.72
Moluccas,10.6,15.9,76.40,0.72
Moluccas,11.7,14.6,106.40,0.72
Moluccas,13.2,15.6,148.20,0.72
Moluccas,13.8,15.4,157.90,0.72
Moluccas,17.2,15.7,284.40,0.72
Moluccas,13.0,16.8,60.00,0.33
Moluccas,14.4,14.8,144.50,0.58
Moluccas,12.3,13.2,76.10,0.66
Moluccas,23.5,23.6,530.60,0.73
Moluccas,17.4,14.5,118.30,0.44
Moluccas,13.7,12.3,102.10,0.59
Moluccas,15.6,10.3,115.10,0.59
Moluccas,17.0,13.8,131.20,0.59
Moluccas,19.2,12.0,126.00,0.59
Moluccas,22.2,15.8,263.80,0.59
Moluccas,24.8,16.6,358.10,0.59
Moluccas,28.3,15.9,461.80,0.59
Moluccas,17.1,16.7,83.50,0.32
Moluccas,19.4,17.6,110.40,0.32
Moluccas,29.8,21.1,289.10,0.32
Moluccas,36.5,19.5,389.70,0.32
Moluccas,41.7,22.3,691.30,0.32
Moluccas,14.1,15.0,142.30,0.56
Mozambique,22.5,12.2,236.16,0.66
Mozambique,28.0,12.0,323.15,0.72
Mozambique,30.7,10.0,385.30,0.65
Mozambique,46.0,16.0,1245.50,0.63
Mozambique,63.2,20.0,2174.20,0.63
Mozambique,32.3,17.4,961.49,0.71
Mozambique,44.0,17.0,1240.37,0.65
Mozambique,60.0,18.3,1863.89,0.65
Mozambique,72.0,23.0,6953.84,0.70
Mozambique,5.0,5.2,4.12,0.61
Mozambique,6.0,5.2,5.96,0.58
Mozambique,14.5,6.0,50.48,0.63
Mozambique,28.0,12.0,295.85,0.64
Mozambique,18.6,7.8,107.86,0.63
Mozambique,6.0,4.7,4.90,0.60
Mozambique,10.6,5.5,36.15,0.62
Mozambique,13.4,6.0,18.65,0.61
Mozambique,16.0,7.0,37.65,0.72
Mozambique,16.0,7.0,47.56,0.60
Mozambique,18.0,7.9,56.56,0.61
Mozambique,18.2,7.8,61.72,0.61
Mozambique,18.5,5.0,102.66,0.62
Mozambique,17.2,11.5,114.65,0.69
Mozambique,30.0,14.0,588.53,0.74
Mozambique,37.0,13.0,843.58,0.66
Mozambique,42.0,17.5,1440.67,0.73
Mozambique,13.5,5.0,24.55,0.61
Mozambique,5.0,5.0,19.53,0.73
NewGuinea,15.9,15.0,49.50,0.49
NewGuinea,34.1,23.0,872.30,0.51
NewGuinea,20.1,23.0,222.80,0.55
NewGuinea,40.1,26.5,791.00,0.50
NewGuinea,12.7,15.0,45.10,0.42
NewGuinea,16.6,20.0,113.80,0.43
NewGuinea,19.4,20.0,161.90,0.43
NewGuinea,48.4,28.0,1047.30,0.56
NewGuinea,15.3,9.0,59.90,0.60
NewGuinea,28.6,26.8,430.00,0.46
NewGuinea,54.1,26.0,1843.70,0.46
NewGuinea,10.0,15.5,15.80,0.44
NewGuinea,17.5,21.0,122.30,0.46
